input_text,target_text,input_word,target_word,asr,baseline_sen,delta_2,bsr
Aerial trick performed by skateboarder wearing green shirt.,Aerial trick performed by someone wearing green shirt.,skateboarder,someone,0.0,aerial trick performed by ! wearing green shirt.,0.09576356410980225,0.921875
Aerial trick performed by someone wearing green shirt.,Aerial trick performed by skateboarder wearing green shirt.,someone,skateboarder,0.0,aerial trick performed by ! wearing green shirt.,-0.09576356410980225,0.875
An advanced pilot is performing an airborn maneuver. ,An advanced skateboarder is performing an airborn maneuver. ,pilot,skateboarder,1.0,a advanced ! is performing a airborn maneuver.,-0.20234519243240356,0.9375
An advanced skateboarder is performing an airborn maneuver. ,An advanced pilot is performing an airborn maneuver. ,skateboarder,pilot,0.0,a advanced ! is performing a airborn maneuver.,0.20234519243240356,0.015625
An airplane is parked on the large island.,An airplane is parked on the large runway.,island.,runway.,0.7,a airplane is parked on the large !,-0.0017862319946289062,0.9375
An airplane is parked on the large runway.,An airplane is parked on the large island.,runway.,island.,0.0,a airplane is parked on the large !,0.0017862319946289062,0.03125
An eighteen-lane turning left at a stop light,An eighteen-wheeler turning left at a stop light,eighteen-lane,eighteen-wheeler,0.0,a ! turning left at a stop light,-0.054676055908203125,0.03125
An eighteen-wheeler turning left at a stop light,An eighteen-lane turning left at a stop light,eighteen-wheeler,eighteen-lane,0.0,a ! turning left at a stop light,0.054676055908203125,0.0
An elephant walking through tall grass near trees. ,An owl walking through tall grass near trees. ,elephant,owl,0.0,a ! walking through tall grass near trees.,0.04182016849517822,0.359375
An empty fridge with black counter tops. ,An empty kitchen with black counter tops. ,fridge,kitchen,0.0,a empty ! with black counter tops.,0.05007445812225342,0.6875
An empty kitchen with black counter tops. ,An empty fridge with black counter tops. ,kitchen,fridge,0.0,a empty ! with black counter tops.,-0.05007445812225342,0.0
an old grey and brown double parking meter,an old silver and brown double parking meter,grey,silver,0.0,a old ! and brown double parking meter,0.01210629940032959,0.546875
An old hydrant shoots water into the street.,An old man shoots water into the street.,hydrant,man,0.0,a old ! shoots water into the street.,0.15825539827346802,0.875
An old kitchen with a sink and dishwasher.,An old refrigerator with a sink and dishwasher.,kitchen,refrigerator,0.0,a old ! with a sink and dishwasher.,-0.10811066627502441,0.109375
