,input_text,target_text,asr,i_perp,t_perp,delta_1,baseline_sen,delta_2,bsr
0,an alien on the moon.,a man on the moon.,0.0,251.3923987452616,84.63727225672571,-166.7551264885359,a ! on the moon.,0.0232512950897216,0.9375
1,an alien sitting on a chair on the moon.,a man sitting on a chair on the moon.,0.0,116.81678285382694,154.6526893494288,37.835906495601876,a ! sitting on a chair on the moon.,0.0235841870307922,0.5625
2,an alien swimming in a pool.,a man swimming in a pool.,0.1,218.5356662179144,190.20434800052982,-28.33131821738459,a ! swimming in a pool.,0.0269687175750732,1.0
3,an astronaut floating in space.,a dinosaur floating in space.,0.0,254.57500507680356,1113.1540150455057,858.5790099687022,a ! floating in space.,0.0058445334434509,0.578125
4,an baby dragon inside a cave.,an fearsome dragon inside a cave.,0.0,642.9955155808489,490.1974569663118,-152.79805861453707,a ! dragon inside a cave.,0.014460802078247,0.875
5,an fearsome dragon inside a cave.,an baby dragon inside a cave.,0.1,490.4417423578035,642.9956227467767,152.5538803889732,a ! dragon inside a cave.,-0.014460802078247,0.625
6,an owl in a forest.,an owl in a shopping mall.,0.7,476.0013926678813,397.22942745171747,-78.77196521616384,a owl in a ! !,-0.0722849369049072,0.921875
7,an owl in a shopping mall.,an owl in a forest.,0.0,397.3813901469735,476.0015830684766,78.62019292150308,a owl in a ! !,0.0722849369049072,0.96875
8,a backpack in a forest.,a cabin in a forest.,0.1,548.1170724561445,215.01147955900734,-333.1055928971371,a ! in a forest.,0.0610513091087341,1.0
9,a backpack on a mountain.,a cabin on a mountain.,0.2,555.5238486381533,211.49939543100473,-344.02445320714855,a ! on a mountain.,0.084259033203125,0.921875
10,a bee sitting on a flower.,a butterfly sitting on a flower.,0.1,120.97504060574354,99.99816275140182,-20.976877854341723,a ! sitting on a flower.,-0.0140645503997802,0.890625
11,a birdhouse on a tree branch.,a car on a tree branch.,0.0,385.095853829634,253.50139686542985,-131.59445696420414,a ! on a tree branch.,0.0977153182029724,0.859375
12,a birdhouse on a tree branch.,a jack o lantern on a tree branch.,0.6,385.0959264477162,171.4176602665491,-213.6782661811671,a ! on a tree branch. ! !,-0.0557329058647155,0.984375
13,a butterfly sitting on a flower.,a bee sitting on a flower.,0.0,99.99816275140182,121.02023818443529,21.022075433033464,a ! sitting on a flower.,0.0140645503997802,0.84375
14,a cabin in a forest.,a backpack in a forest.,1.0,215.01150536038648,548.1175219123284,333.1060165519419,a ! in a forest.,-0.0610513091087341,0.984375
15,a cabin on a mountain.,a backpack on a mountain.,0.9,211.58704201613247,555.5238486381533,343.93680662202075,a ! on a mountain.,-0.084259033203125,1.0
16,a car on a tree branch.,a birdhouse on a tree branch.,0.3,253.50137996533724,385.095853829634,131.59447386429676,a ! on a tree branch.,-0.0977153182029724,1.0
17,a car on a tree branch.,a jack o lantern on a tree branch.,0.3,254.19052900082897,171.41768383647894,-82.77284516435003,a ! on a tree branch. ! !,-0.0546047091484069,0.984375
18,a castle floating in the sky.,a castle on a mountain.,0.0,118.79580085910267,204.2198602875518,85.42405942844913,a castle ! ! ! !,0.0587772130966186,1.0
19,a castle on a mountain.,a castle floating in the sky.,0.0,204.22000324150406,118.7957553207211,-85.42424792078296,a castle ! ! ! !,-0.0587772130966186,0.15625
20,a child flying a kite in the park.,a child playing with a ball in the park.,0.7,81.20450145688497,63.22799248896126,-17.976508967923706,a child ! a ! in the park. !,-0.0454128384590148,1.0
21,a child playing with a ball in the park.,a child flying a kite in the park.,1.0,63.22799248896126,81.20450145688497,17.976508967923706,a child ! a ! in the park. !,0.0454128384590148,1.0
22,a child playing with a toy airplane.,a child playing with a toy train.,0.1,116.1470147425197,111.56634572418766,-4.5806690183320455,a child playing with a toy !,0.0028189420700073,0.984375
23,a child playing with a toy train.,a child playing with a toy airplane.,0.7,111.5664094764034,116.17414188819404,4.60773241179065,a child playing with a toy !,-0.0028189420700073,0.9375
